timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
8101,810,1,b7fb,DL,2,8.00,0,4,0,0,0,1,611.12,0.16,3.0000,2,5
8102,810,2,b7fb,DL,2,8.00,1,7,4,15,0,1,605.01,3.53,3.0000,0,6
8126,812,6,b7fb,DL,2,8.00,0,4,2,15,0,1,475.34,4.49,3.0000,0,6
8131,813,1,b7fb,DL,2,8.00,7,28,24,15,0,1,452.04,4.73,3.0000,0,3
8153,815,3,b7fb,DL,2,8.00,0,4,2,15,0,1,362.37,5.89,3.0000,0,1
8165,816,5,b7fb,DL,2,8.00,3,13,10,15,0,1,335.02,6.38,3.0000,0,5
8182,818,2,b7fb,DL,2,8.00,0,4,2,15,0,1,321.88,6.64,3.0000,0,6
8183,818,3,b7fb,DL,2,8.00,5,18,17,15,0,1,318.66,6.70,3.0000,0,7
8206,820,6,b7fb,DL,2,8.00,0,4,2,15,0,1,304.34,7.02,3.0000,0,6
8207,820,7,b7fb,DL,4,16.00,16,153,151,15,0,1,301.30,7.09,3.0000,0,7
8226,822,6,b7fb,DL,2,8.00,0,4,2,15,0,1,288.07,7.41,3.0000,0,2
8242,824,2,b7fb,DL,2,8.00,1,7,4,15,0,1,278.22,7.68,3.0000,0,2
8246,824,6,b7fb,DL,2,8.00,11,41,37,15,0,1,274.17,7.79,3.0000,0,6
8262,826,2,b7fb,DL,2,8.00,11,41,37,15,0,1,272.98,7.82,3.0000,0,6
8277,827,7,b7fb,DL,2,8.00,1,7,4,15,0,1,268.20,7.96,3.0000,0,5
8303,830,3,b7fb,DL,2,8.00,0,4,2,15,0,1,256.95,8.31,3.0000,0,7
6082,608,2,b7fb,DL,2,8.00,0,4,2,15,0,1,248.17,8.61,3.0000,0,2
6094,609,4,4da5,DL,2,8.00,0,4,2,7,0,1,10.00,0.36,0.5000,1,6
8316,831,6,8a90,DL,4,16.00,0,11,2,0,0,1,817.91,0.20,5.0000,2,4
8329,832,9,8a90,DL,14,56.00,0,47,44,0,0,1,717.73,0.23,5.0000,2,1
8330,833,0,8a90,DL,2,8.00,0,4,0,0,0,1,710.55,0.23,5.0000,2,2
8331,833,1,8a90,DL,2,8.00,0,4,0,0,0,1,703.45,0.23,5.0000,2,3
8332,833,2,8a90,DL,2,8.00,0,4,0,0,0,1,696.41,0.24,5.0000,2,4
8333,833,3,8a90,DL,2,8.00,0,4,0,0,0,1,689.45,0.24,5.0000,2,5
8334,833,4,8a90,DL,2,8.00,0,4,0,0,0,1,682.55,0.24,5.0000,2,6
8336,833,6,8a90,DL,2,8.00,0,4,0,0,0,1,668.97,0.25,5.0000,2,0
8337,833,7,8a90,DL,2,8.00,0,4,0,0,0,1,662.28,0.25,5.0000,2,1
8338,833,8,8a90,DL,2,8.00,0,4,0,0,0,1,655.66,0.25,5.0000,2,2
8339,833,9,8a90,DL,2,8.00,0,4,0,0,0,1,649.10,0.25,5.0000,2,3
8340,834,0,8a90,DL,2,8.00,0,4,0,0,0,1,642.61,0.26,5.0000,2,4
8341,834,1,8a90,DL,2,8.00,0,4,0,0,0,1,636.19,0.26,5.0000,2,5
8342,834,2,8a90,DL,2,8.00,0,4,0,0,0,1,629.82,0.26,5.0000,2,6
8343,834,3,8a90,DL,2,8.00,1,7,4,15,0,1,623.53,5.71,5.0000,0,7
8366,836,6,8a90,DL,2,8.00,0,4,2,15,0,1,494.84,7.19,5.0000,0,6
