timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
7180,718,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
7503,750,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7612,761,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7905,790,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8012,801,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8312,831,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8428,842,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8743,874,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8860,886,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
9172,917,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9287,928,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9596,959,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9710,971,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
10018,1001,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10133,1013,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
201,20,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
314,31,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
620,62,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
741,74,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1054,105,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1165,116,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1470,147,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
1589,158,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1922,192,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2043,204,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2377,237,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2506,250,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2846,284,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2971,297,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3296,329,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3420,342,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
3751,375,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3879,387,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4211,421,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4335,433,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4670,467,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
4802,480,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5137,513,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5261,526,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5585,558,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5712,571,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6041,604,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6166,616,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6470,647,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
6596,659,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6916,691,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7035,703,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7363,736,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7478,747,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7802,780,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7924,792,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8240,824,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
8365,836,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8693,869,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8818,881,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9138,913,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9254,925,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9585,958,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9700,970,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
10017,1001,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10132,1013,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
215,21,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
335,33,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
658,65,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
786,78,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1115,111,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1238,123,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1566,156,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1684,168,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2009,200,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2127,212,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2432,243,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2547,254,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2857,285,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2984,298,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3306,330,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3427,342,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3718,371,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3832,383,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4098,409,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4194,419,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4450,445,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
4533,453,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4783,478,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4873,487,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5124,512,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5225,522,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5508,550,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5599,559,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5840,584,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
5938,593,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6253,625,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6371,637,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
